sub,Effort1_Risk2,run,trial,RT,dur,StrTime,reward,loss,effort_risk,response
21,1,1,25,0.982861,12.731976,136.018185,12,1,1,4
21,1,1,26,1.408678,4.743754,148.75636,12,6,3,4
21,1,1,27,1.533818,4.741913,153.508224,4,5,3,1
21,1,1,28,0,4.490131,158.260004,2,1,3,0
21,1,1,29,1.604319,6.238512,162.761729,12,2,3,2
21,1,1,30,0,4.986016,169.014128,8,4,3,0
21,1,1,31,1.148994,4.734086,174.016046,10,5,3,2
21,1,1,32,1.171185,4.482283,178.767867,10,2,5,1
21,1,1,33,0,4.230497,183.269632,2,6,4,0
21,1,1,34,1.116794,6.979001,187.521263,12,1,2,4
21,1,1,35,0,4.493054,194.507233,2,2,5,0
21,1,1,36,0.97305,4.991163,199.009,2,3,5,1
21,1,2,1,0,4.962375,0.037842,8,4,3,0
21,1,2,2,1.10693,4.977025,5.023046,8,6,5,2
21,1,2,3,1.370682,5.491938,10.008293,6,4,4,2
21,1,2,4,1.67954,7.989803,15.51044,8,5,2,3
21,1,2,5,1.887518,5.736641,23.513469,8,3,3,2
21,1,2,6,1.51032,4.234435,29.265672,10,2,1,4
21,1,2,7,1.729645,4.98291,33.517303,12,4,4,1
21,1,2,8,1.462856,10.480879,38.519221,2,5,4,2
21,1,2,9,1.016415,4.243561,49.006573,12,3,5,4
21,1,2,10,1.18778,4.491875,53.258203,6,4,5,1
21,1,2,11,1.199019,3.990248,57.759969,10,1,1,4
21,1,2,12,0,4.488631,61.761504,4,3,2,0
21,1,2,13,1.6748,5.487057,66.263189,4,6,3,1
21,1,2,14,0.974701,4.484847,71.765298,12,1,1,4
21,1,2,15,1.131914,4.233043,76.267064,2,1,1,3
21,1,2,16,1.013345,4.231425,80.518652,10,6,1,4
21,1,2,17,1.339703,5.729951,84.770283,10,6,4,2
21,1,2,18,0,6.977762,90.522491,6,2,3,0
21,1,2,19,1.001493,4.741638,97.508498,4,6,3,2
21,1,2,20,1.528714,4.739814,102.260323,8,1,3,2
21,1,2,21,1.246851,6.488024,107.012146,12,3,4,1
21,1,2,22,1.214363,5.985511,113.514635,12,4,5,1
21,1,2,23,1.323077,7.483226,119.516936,4,1,2,3
21,1,2,24,1.08419,4.230236,127.019855,2,2,5,1
21,1,2,25,1.07255,4.228766,131.271445,2,6,1,3
21,1,2,26,1.741598,6.243847,135.506398,6,1,2,3
21,1,2,27,1.1772,5.49127,141.7588,10,2,4,2
21,1,2,28,1.650133,8.489255,147.260907,4,3,5,1
21,1,2,29,1.068827,5.235917,155.764168,10,5,4,2
21,1,2,30,1.525826,5.233964,161.016176,4,5,2,2
21,1,2,31,0,7.731931,166.268232,8,4,3,0
21,1,2,32,1.279835,4.72892,174.021164,2,3,2,2
21,1,2,33,1.253721,6.993801,178.75631,6,5,3,2
21,1,2,34,1.099861,4.241227,185.758999,2,2,5,1
21,1,2,35,1.810366,8.239577,190.010669,12,5,3,2
21,1,2,36,1.650236,5.73634,198.263789,6,2,3,2
21,1,3,1,1.667169,4.214328,0.035766,2,6,3,2
21,1,3,2,1.410225,7.22939,4.27076,6,3,1,4
21,1,3,3,1.327107,3.993413,11.506827,10,4,1,4
21,1,3,4,1.259624,3.991782,15.50836,6,1,1,3
21,1,3,5,1.316087,5.490183,19.509896,2,1,5,2
21,1,3,6,1.109975,5.238154,25.012003,8,5,5,2
21,1,3,7,1.417981,5.736135,30.26402,4,6,4,2
21,1,3,8,1.299719,5.483923,36.016221,2,3,3,2
21,1,3,9,1.642657,3.981905,41.518332,10,5,3,2
21,1,3,10,1.093122,3.980356,45.519865,8,1,1,4
21,1,3,11,1.047588,6.478769,49.5214,10,3,5,2
21,1,3,12,0.942795,4.493005,56.007217,6,1,5,2
21,1,3,13,1.120041,4.491196,60.508945,10,6,2,4
21,1,3,14,1.723273,5.489586,65.01067,4,6,2,2
21,1,3,15,1.721212,8.487389,70.512782,4,4,2,2
21,1,3,16,0.943898,5.234105,79.016037,4,4,4,2
21,1,3,17,1.147939,3.982163,84.268054,6,5,4,2
21,1,3,18,0.924362,4.480572,88.269626,4,2,3,2
21,1,3,19,1.801677,9.978889,92.771314,2,2,2,2
21,1,3,20,1.20351,5.491667,102.758476,12,5,5,1
21,1,3,21,1.376417,3.989496,108.260585,4,5,5,1
21,1,3,22,1.478909,6.488041,112.262117,12,2,2,4
21,1,3,23,1.183342,4.985609,118.764606,8,4,4,1
21,1,3,24,1.040478,12.483583,123.766528,12,1,2,4
21,1,3,25,0,5.728805,136.271361,6,5,2,0
21,1,3,26,1.345226,3.993358,142.006853,2,2,1,3
21,1,3,27,0,4.24169,146.008385,10,3,2,0
21,1,3,28,1.090931,5.740142,150.260014,8,6,2,3
21,1,3,29,1.027773,5.988007,156.012219,8,3,1,4
21,1,3,30,1.109469,3.985608,162.014529,8,4,4,2
21,1,3,31,1.773959,6.984182,166.016055,2,1,3,2
21,1,3,32,1.315233,3.981298,173.018781,6,2,3,2
21,1,3,33,1.224685,11.979926,177.020314,12,6,1,4
21,1,3,34,0.863806,5.742045,189.008202,12,3,2,4
21,1,3,35,1.028596,3.989819,194.760405,10,4,4,2
21,1,3,36,1.051042,5.23813,198.761942,12,2,5,1
21,1,4,1,1.101905,4.214076,0.036079,10,3,2,4
21,1,4,2,0.899917,3.979051,4.271078,4,4,3,2
21,1,4,3,0.988434,4.22769,8.272572,4,1,3,2
21,1,4,4,1.713422,5.742651,12.507568,2,1,2,2
21,1,4,5,1.313228,7.490513,18.259731,4,3,2,3
21,1,4,6,1.232394,3.987529,25.762608,6,1,4,2
21,1,4,7,1.751857,10.236034,29.764143,4,6,2,2
21,1,4,8,1.391894,4.231965,40.018114,12,3,5,1
21,1,4,9,1.101291,4.730397,44.269702,8,3,5,1
21,1,4,10,1.015459,12.228681,49.021566,12,6,4,1
21,1,4,11,1.223408,4.49062,61.25959,8,5,1,3
21,1,4,12,1.144746,7.738971,65.761273,10,6,4,2
21,1,4,13,1.196766,4.735912,73.514245,6,4,5,1
21,1,4,14,1.298896,5.984122,78.266108,10,5,1,3
21,1,4,15,1.350544,7.731752,84.268409,2,5,2,4
21,1,4,16,0.930658,5.728878,92.021343,6,2,4,2
21,1,4,17,0.87114,3.993263,97.756872,8,2,5,1
21,1,4,18,1.233597,3.991728,101.758407,8,4,2,3
21,1,4,19,0.982034,4.740166,105.759982,4,2,5,2
21,1,4,20,1.198249,4.488515,110.511762,12,5,5,1
21,1,4,21,0.786584,6.486748,115.013487,8,6,4,1
21,1,4,22,0.890045,4.484232,121.51598,6,4,2,3
21,1,4,23,1.371262,6.482416,126.017747,10,1,1,4
21,1,4,24,1.101812,6.229948,132.520198,8,5,1,3
21,1,4,25,0.566359,5.977594,138.772636,6,2,1,4
21,1,4,26,1.85879,6.742001,144.758224,2,1,1,3
21,1,4,27,1.237209,3.98932,151.510812,10,5,5,1
21,1,4,28,1.415674,4.487865,155.512347,2,4,4,1
21,1,4,29,1.296942,5.736088,160.014071,2,6,4,1
21,1,4,30,0.849686,5.233908,165.766276,12,1,4,1
21,1,4,31,1.528691,3.981886,171.01833,2,4,1,4
21,1,4,32,1.14219,3.980312,175.019823,12,6,2,4
21,1,4,33,1.412659,10.728771,179.021357,6,3,5,1
21,1,4,34,1.404205,5.241334,189.758806,4,2,5,2
21,1,4,35,1.643159,4.739261,195.010821,10,3,3,2
21,1,4,36,0.885373,4.237569,199.762644,12,2,4,2
21,1,5,1,1.238038,5.212285,0.037953,8,6,1,4
21,1,5,2,1.090379,4.493469,5.256661,6,5,1,4
21,1,5,3,1.553638,6.991894,9.758345,2,3,1,4
21,1,5,4,0.883923,4.239068,16.76107,6,3,3,2
21,1,5,5,0.816351,7.237585,21.01266,2,5,4,2
21,1,5,6,0.769496,6.984714,28.265439,10,5,1,4
21,1,5,7,1.174876,4.232005,35.268127,10,3,3,2
21,1,5,8,1.223243,6.230362,39.519752,6,2,5,1
21,1,5,9,0.824853,3.977954,45.772153,12,6,2,4
21,1,5,10,1.146937,5.243085,49.757053,8,6,1,4
21,1,5,11,1.75494,5.74115,55.009066,12,1,2,4
21,1,5,12,1.173796,7.738927,60.761231,12,2,4,2
21,1,5,13,0.893807,7.485958,68.514202,6,5,2,4
21,1,5,14,1.331927,3.983056,76.017078,4,1,2,3
21,1,5,15,0,4.981521,80.018611,2,6,1,0
21,1,5,16,0.72645,3.979602,85.020531,2,1,3,2
21,1,5,17,1.27591,7.728096,89.022064,10,4,4,2
21,1,5,18,0.870657,7.741913,96.758362,4,3,5,2
21,1,5,19,0.719665,3.988795,104.511334,4,6,1,4
21,1,5,20,1.137139,4.987317,108.51287,2,4,2,2
21,1,5,21,1.252186,6.735347,113.514827,10,4,5,2
21,1,5,22,0.735589,4.482722,120.267415,6,5,5,1
21,1,5,23,1.146905,3.981027,124.769102,8,2,4,1
21,1,5,24,1.122328,4.979468,128.770675,8,3,5,1
21,1,5,25,0.728354,3.977587,133.772553,10,1,4,2
21,1,5,26,1.867565,3.992718,137.757453,12,4,1,4
21,1,5,27,0.891031,4.491237,141.758987,4,4,4,2
21,1,5,28,0.80329,5.489506,146.260712,4,6,3,2
21,1,5,29,0.954217,3.987441,151.76278,8,2,3,1
21,1,5,30,0.834687,3.98581,155.764324,10,2,3,2
