"","SubID","TrialOrder","cost_one","LargeReward","cost_two","SmallReward","Decision"
"269",302,101,0.3,2,0,0.89,1
"270",302,102,0.1,4,0,2.38,1
"271",302,103,0.1,4,0,3.57,0
"272",302,104,0.5,2,0,0.11,1
"273",302,105,0.1,2,0,1.79,1
"274",302,107,0.5,3,0,0.66,0
"275",302,108,0.5,4,0,0.65,1
"276",302,109,0.7,4,0,0.4,0
"277",302,110,0.1,4,0,4,0
"278",302,112,0.1,2,0,1.19,1
"279",302,113,0.3,3,0,1.24,1
"280",302,114,0.1,2,0,1.19,0
"281",302,115,0.3,3,0,0.28,1
"282",302,116,0.5,2,0,0.02,1
"283",302,117,0.7,4,0,0.4,1
"284",302,118,0.5,2,0,0.11,1
"285",302,119,0.7,3,0,0.16,0
"286",302,120,0.7,2,0,0.19,0
"287",302,121,0.7,4,0,0.33,1
"288",302,122,0.1,3,0,1.79,1
"289",302,123,0.1,3,0,0.6,1
"290",302,124,0.5,3,0,0.88,1
"291",302,125,0.3,4,0,4,1
"292",302,126,0.1,4,0,3.57,1
"293",302,127,0.1,3,0,3,0
"294",302,128,0.7,2,0,0.28,0
"295",302,129,0.7,3,0,1.17,0
"296",302,130,0.3,2,0,0.59,1
"297",302,131,0.5,2,0,0.07,1
"298",302,132,0.7,4,0,0.26,0
"299",302,133,0.5,4,0,0.65,1
"300",302,134,0.3,3,0,2.48,0
"301",302,135,0.5,4,0,0.43,1
"302",302,136,0.7,2,0,0.46,0
"303",302,137,0.7,2,0,0.37,0
"304",302,138,0.1,2,0,1.79,1
"305",302,139,0.3,3,0,2.07,0
"306",302,140,0.3,3,0,1.66,1
"307",302,141,0.7,4,0,0.13,0
"308",302,142,0.5,3,0,0.44,1
"309",302,143,0.7,3,0,0.7,1
"310",302,144,0.3,2,0,1.19,0
"311",302,145,0.3,4,0,4,0
"312",302,146,0.3,4,0,2.08,0
"313",302,147,0.5,2,0,0.14,1
"314",302,148,0.1,4,0,2.38,1
"315",302,149,0.3,3,0,0.83,1
"316",302,150,0.7,3,0,0.47,0
"317",302,151,0.3,2,0,1.48,0
"318",302,152,0.3,4,0,3.12,0
"319",302,153,0.1,2,0,2,0
"320",302,154,0.1,4,0,4,0
"321",302,155,0.1,3,0,2.68,0
"322",302,157,0.5,3,0,0.66,1
"323",302,158,0.1,4,0,4,0
"324",302,159,0.3,2,0,0.89,1
"325",302,160,0.1,2,0,2,0
"326",302,161,0.5,3,0,1.1,0
"327",302,162,0.1,3,0,3,1
"328",302,163,0.5,2,0,0.18,1
"329",302,164,0.5,4,0,1.08,0
"330",302,165,0.1,4,0,4,0
"331",302,166,0.7,3,0,0.94,0
"332",302,168,0.7,4,0,0.2,1
"333",304,1,0.5,4,0,1.84,0
"334",304,2,0.1,4,0,4,0
"335",304,3,0.1,4,0,1.63,1
"336",304,4,0.1,3,0,1.21,1
"337",304,5,0.3,2,0,0.14,0
"338",304,6,0.3,3,0,0.52,1
"339",304,7,0.5,3,0,1.4,0
"340",304,8,0.7,2,0,0.03,0
"341",304,9,0.1,2,0,0.44,1
"342",304,10,0.5,4,0,3.06,0
"343",304,11,0.1,4,0,4,0
"344",304,12,0.7,4,0,0.26,1
"345",304,13,0.7,3,0,0.03,0
"346",304,14,0.5,3,0,0.47,1
"347",304,15,0.7,4,0,0.13,1
"348",304,16,0.5,4,0,0.41,1
"349",304,17,0.3,2,0,0.18,1
"350",304,18,0.7,3,0,0.04,0
"351",304,19,0.5,2,0,0.05,0
"352",304,20,0.5,3,0,0.94,1
"353",304,21,0.1,2,0,0.74,1
"354",304,22,0.3,3,0,0.42,1
"355",304,23,0.5,2,0,0.1,0
"356",304,24,0.3,4,0,3.06,0
"357",304,25,0.3,4,0,1.22,1
"358",304,26,0.3,3,0,0.63,1
"359",304,27,0.7,4,0,0.2,0
"360",304,28,0.5,2,0,0.07,1
"361",304,29,0.1,3,0,2.41,1
"362",304,30,0.7,3,0,0.02,1
"363",304,31,0.1,4,0,2.45,1
"364",304,32,0.5,4,0,1.22,1
"365",304,33,0.3,3,0,0.32,1
"366",304,34,0.5,4,0,2.45,0
"367",304,35,0.7,2,0,0.02,0
"368",304,36,0.3,4,0,0.41,1
"369",304,37,0.5,3,0,0.7,1
"370",304,38,0.1,2,0,0.59,1
"371",304,39,0.7,2,0,0.02,0
"372",304,40,0.1,4,0,3.26,1
"373",304,41,0.3,2,0,0.07,1
"374",304,42,0.1,2,0,0.1,1
"375",304,43,0.3,2,0,0.11,1
"376",304,44,0.7,2,0,0.01,1
"377",304,45,0.1,3,0,1.81,1
"378",304,46,0.7,3,0,0.01,1
"379",304,47,0.3,4,0,1.84,1
"380",304,48,0.5,3,0,1.17,0
"381",304,49,0.3,4,0,2.45,0
"382",304,50,0.5,2,0,0.12,1
"383",304,51,0.7,2,0,0.04,0
"384",304,52,0.1,2,0,0.29,1
"385",304,53,0.1,3,0,3,0
"386",304,54,0.7,3,0,0.05,1
"387",304,55,0.7,4,0,0.33,1
"388",304,56,0.3,3,0,0.21,1
"389",304,57,0.1,4,0,4,0
"390",304,58,0.5,3,0,1.4,1
"391",304,59,0.3,4,0,1.84,1
"392",304,60,0.3,2,0,0.07,1
"393",304,61,0.7,3,0,0.04,0
"394",304,62,0.7,3,0,0.03,0
"395",304,63,0.5,2,0,0.12,1
"396",304,64,0.1,2,0,0.88,1
"397",304,65,0.7,2,0,0.02,0
"398",304,66,0.7,2,0,0.01,1
"399",304,67,0.3,4,0,3.06,0
"400",304,68,0.5,4,0,1.22,1
"401",304,69,0.5,2,0,0.05,1
"402",304,70,0.5,4,0,2.45,0
"403",304,71,0.7,2,0,0.02,0
"404",304,72,0.1,2,0,0.59,1
"405",304,73,0.3,4,0,3.67,0
"406",304,74,0.1,3,0,3,0
"407",304,75,0.1,3,0,2.41,1
"408",304,76,0.1,3,0,1.21,0
"409",304,77,0.5,2,0,0.02,1
"410",304,79,0.7,4,0,0.33,0
"411",304,80,0.1,3,0,1.81,1
"412",304,81,0.7,4,0,0.2,0
"413",304,82,0.3,4,0,1.22,1
"414",304,83,0.3,2,0,0.18,1
"415",304,84,0.7,3,0,0.02,1
"416",304,86,0.3,3,0,0.52,1
"417",304,87,0.5,3,0,0.47,1
"418",304,88,0.7,4,0,0.13,0
"419",304,89,0.5,3,0,0.94,1
"420",304,90,0.3,3,0,0.07,1
"421",304,91,0.5,3,0,1.17,0
"422",304,92,0.3,3,0,0.32,1
"423",304,93,0.5,4,0,3.06,0
"424",304,94,0.5,2,0,0.1,1
"425",304,95,0.3,2,0,0.14,1
"426",304,96,0.7,2,0,0.03,0
"427",304,97,0.3,4,0,2.45,0
"428",304,98,0.7,3,0,0.05,1
"429",304,99,0.3,3,0,0.21,1
"430",304,100,0.1,4,0,0.54,1
"431",304,101,0.3,2,0,0.11,1
"432",304,102,0.1,4,0,1.63,1
"433",304,103,0.1,4,0,2.45,0
"434",304,104,0.5,2,0,0.07,1
"435",304,105,0.1,2,0,0.44,1
"436",304,106,0.7,2,0,0.01,1
"437",304,107,0.5,3,0,0.7,0
"438",304,108,0.5,4,0,1.84,1
"439",304,109,0.7,4,0,0.4,0
"440",304,110,0.1,4,0,3.26,1
"441",304,111,0.3,3,0,0.42,1
"442",304,112,0.1,2,0,0.29,1
"443",304,113,0.3,3,0,0.32,1
"444",304,114,0.1,2,0,0.29,1
"445",304,115,0.3,3,0,0.07,1
"446",304,116,0.5,2,0,0.02,1
"447",304,117,0.7,4,0,0.4,0
"448",304,118,0.5,2,0,0.07,1
"449",304,119,0.7,3,0,0.01,0
"450",304,120,0.7,2,0,0.01,0
"451",304,121,0.7,4,0,0.33,0
"452",304,122,0.1,3,0,1.21,1
"453",304,123,0.1,3,0,0.4,1
"454",304,124,0.5,3,0,0.94,0
"455",304,125,0.3,4,0,2.45,0
"456",304,126,0.1,4,0,2.45,1
"457",304,127,0.1,3,0,2.41,1
"458",304,128,0.7,2,0,0.02,0
"459",304,129,0.7,3,0,0.05,1
"460",304,130,0.3,2,0,0.07,1
"461",304,131,0.5,2,0,0.05,0
"462",304,132,0.7,4,0,0.26,1
"463",304,133,0.5,4,0,1.84,1
"464",304,134,0.3,3,0,0.63,1
"465",304,135,0.5,4,0,1.22,0
"466",304,136,0.7,2,0,0.03,0
"467",304,137,0.7,2,0,0.02,1
"468",304,139,0.3,3,0,0.52,1
"469",304,140,0.3,3,0,0.42,1
"470",304,141,0.7,4,0,0.13,1
"471",304,142,0.5,3,0,0.47,1
"472",304,143,0.7,3,0,0.03,1
"473",304,144,0.3,2,0,0.14,1
"474",304,145,0.3,4,0,3.06,0
"475",304,146,0.3,4,0,1.22,1
"476",304,147,0.5,2,0,0.1,0
"477",304,148,0.1,4,0,1.63,1
"478",304,149,0.3,3,0,0.21,1
"479",304,150,0.7,3,0,0.02,1
"480",304,151,0.3,2,0,0.18,1
"481",304,152,0.3,4,0,1.84,1
"482",304,153,0.1,2,0,0.74,1
"483",304,154,0.1,4,0,4,0
"484",304,155,0.1,3,0,1.81,1
"485",304,156,0.5,4,0,3.67,0
"486",304,157,0.5,3,0,0.7,1
"487",304,158,0.1,4,0,3.26,0
"488",304,159,0.3,2,0,0.11,1
"489",304,160,0.1,2,0,0.59,1
"490",304,161,0.5,3,0,1.17,0
"491",304,162,0.1,3,0,3,0
"492",304,163,0.5,2,0,0.12,1
"493",304,164,0.5,4,0,3.06,0
"494",304,165,0.1,4,0,4,0
"495",304,166,0.7,3,0,0.04,0
"496",304,167,0.5,4,0,2.45,0
"497",304,168,0.7,4,0,0.2,1
"498",305,1,0.5,4,0,1.39,1
"499",305,2,0.1,4,0,3.55,1
"500",305,3,0.1,4,0,1.18,1
"501",305,4,0.1,3,0,1.79,1
"502",305,5,0.3,2,0,1.19,1
"503",305,6,0.3,3,0,3,0
"504",305,7,0.5,3,0,3,0
"505",305,8,0.7,2,0,0.03,0
"506",305,9,0.1,2,0,1.79,1
"507",305,10,0.5,4,0,2.31,0
"508",305,11,0.1,4,0,2.96,1
"509",305,12,0.7,4,0,0.05,0
"510",305,13,0.7,3,0,0.86,0
"511",305,14,0.5,3,0,1.39,0
"512",305,15,0.7,4,0,0.02,1
"513",305,16,0.5,4,0,0.31,1
"514",305,17,0.3,2,0,1.48,1
"515",305,18,0.7,3,0,1.15,1
"516",305,19,0.5,2,0,0.59,1
"517",305,20,0.5,3,0,2.78,0
"518",305,21,0.1,2,0,2,0
"519",305,22,0.3,3,0,3,0
"520",305,23,0.5,2,0,1.19,0
"521",305,24,0.3,4,0,4,0
"522",305,25,0.3,4,0,1.67,1
"523",305,26,0.3,3,0,3,0
"524",305,27,0.7,4,0,0.04,1
"525",305,28,0.5,2,0,0.89,0
"526",305,29,0.1,3,0,3,1
"527",305,30,0.7,3,0,0.58,0
"528",305,31,0.1,4,0,1.77,0
"529",305,32,0.5,4,0,0.92,1
"530",305,33,0.3,3,0,2.56,0
"531",305,34,0.5,4,0,1.85,0
"532",305,35,0.7,2,0,0.02,1
"533",305,36,0.3,4,0,0.56,1
"534",305,37,0.5,3,0,2.09,0
"535",305,38,0.1,2,0,2,0
"536",305,39,0.7,2,0,0.02,1
"537",305,40,0.1,4,0,2.36,1
"538",305,41,0.3,2,0,0.59,1
"539",305,42,0.1,2,0,0.4,1
"540",305,43,0.3,2,0,0.89,1
"541",305,44,0.7,2,0,0.01,1
"542",305,45,0.1,3,0,2.68,1
"543",305,46,0.7,3,0,0.19,1
