"","SubID","TrialOrder","cost_one","LargeReward","cost_two","SmallReward","Decision"
"319",302,158,0.5,4,0,4,1
"320",302,159,0.65,2,0,1.79,1
"321",302,161,0.8,3,0,3,0
"322",302,162,0.5,3,0,3,0
"323",302,163,0.8,2,0,2,0
"324",302,165,0.5,4,0,4,0
"325",302,166,0.95,3,0,0.04,0
"326",302,168,0.95,4,0,0.04,0
"327",304,1,0.8,4,0,1.77,1
"328",304,2,0.5,4,0,4,0
"329",304,3,0.5,4,0,2.38,1
"330",304,4,0.5,3,0,1.79,1
"331",304,5,0.65,2,0,2,0
"332",304,6,0.65,3,0,2.22,1
"333",304,7,0.8,3,0,1.31,1
"334",304,8,0.95,2,0,0.18,1
"335",304,9,0.5,2,0,1.79,1
"336",304,10,0.8,4,0,2.96,1
"337",304,11,0.5,4,0,4,0
"338",304,12,0.95,4,0,0.56,1
"339",304,13,0.95,3,0,0.32,1
"340",304,14,0.8,3,0,0.44,1
"341",304,15,0.95,4,0,0.28,1
"342",304,16,0.8,4,0,0.39,1
"343",304,17,0.65,2,0,2,0
"344",304,18,0.95,3,0,0.42,1
"345",304,19,0.8,2,0,0.59,1
"346",304,20,0.8,3,0,0.88,1
"347",304,21,0.5,2,0,2,0
"348",304,22,0.65,3,0,1.78,1
"349",304,23,0.8,2,0,1.19,1
"350",304,24,0.65,4,0,4,0
"351",304,25,0.65,4,0,2.38,1
"352",304,26,0.65,3,0,2.66,1
"353",304,27,0.95,4,0,0.42,1
"354",304,28,0.8,2,0,0.89,1
"355",304,29,0.5,3,0,3,0
"356",304,30,0.95,3,0,0.21,1
"357",304,31,0.5,4,0,3.57,1
"358",304,32,0.8,4,0,1.18,1
"359",304,33,0.65,3,0,1.33,1
"360",304,34,0.8,4,0,2.36,1
"361",304,35,0.95,2,0,0.14,0
"362",304,36,0.65,4,0,0.79,1
"363",304,37,0.8,3,0,0.66,1
"364",304,38,0.5,2,0,2,0
"365",304,39,0.95,2,0,0.11,0
"366",304,40,0.5,4,0,4,0
"367",304,41,0.65,2,0,1.19,1
"368",304,42,0.5,2,0,0.4,1
"369",304,43,0.65,2,0,1.79,1
"370",304,44,0.95,2,0,0.07,0
"371",304,45,0.5,3,0,2.68,1
"372",304,46,0.95,3,0,0.07,1
"373",304,47,0.65,4,0,3.57,1
"374",304,48,0.8,3,0,1.1,1
"375",304,49,0.65,4,0,4,0
"376",304,50,0.8,2,0,1.48,1
"377",304,51,0.95,2,0,0.22,0
"378",304,52,0.5,2,0,1.19,1
"379",304,53,0.5,3,0,3,0
"380",304,54,0.95,3,0,0.52,1
"381",304,55,0.95,4,0,0.71,1
"382",304,56,0.65,3,0,0.89,1
"383",304,57,0.5,4,0,4,0
"384",304,58,0.8,3,0,1.31,1
"385",304,59,0.65,4,0,3.57,1
"386",304,60,0.65,2,0,1.19,1
"387",304,61,0.95,3,0,0.42,1
"388",304,62,0.95,3,0,0.32,1
"389",304,63,0.8,2,0,1.48,1
"390",304,64,0.5,2,0,2,0
"391",304,65,0.95,2,0,0.11,0
"392",304,66,0.95,2,0,0.07,0
"393",304,67,0.65,4,0,4,0
"394",304,68,0.8,4,0,1.18,1
"395",304,69,0.8,2,0,0.59,1
"396",304,70,0.8,4,0,2.36,1
"397",304,71,0.95,2,0,0.14,1
"398",304,72,0.5,2,0,2,0
"399",304,73,0.65,4,0,4,0
"400",304,74,0.5,3,0,3,0
"401",304,75,0.5,3,0,3,0
"402",304,76,0.5,3,0,1.79,1
"403",304,77,0.8,2,0,0.2,1
"404",304,78,0.95,4,0,0.56,1
"405",304,79,0.95,4,0,0.71,1
"406",304,80,0.5,3,0,2.68,1
"407",304,81,0.95,4,0,0.42,1
"408",304,82,0.65,4,0,2.38,1
"409",304,83,0.65,2,0,2,0
"410",304,84,0.95,3,0,0.21,1
"411",304,85,0.5,2,0,2,0
"412",304,86,0.65,3,0,2.22,1
"413",304,87,0.8,3,0,0.44,1
